From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Driver's License Data Verification (DLDV) Service,American Association of Motor Vehicle Administrators,,Organization for Group,,,,,,,,,
Identification cards – Contactless integrated circuit(s) cards  (10536),Contactless Integrated Circuit(s) cards WG8,,Specification of Group,,,,,,,,,
Systematic Alien Verification for Entitlements SAVE,Verification of Lawful Status (VLS),,Connection,,,,,,,,,
AccountChooser Integration API Profile 1.0,Account Chooser,,Specification of Group,,,,,,,,,
ISA2 Interoperability Solutions for European Public Administrators,european Interoperability Framework (EIF) for European Public Services,,Author,,,,,,,,,
ID Theft Prevention and ID Management Standards Panel (IDSP),ANCI,,Organization for Group,,,,,,,,,
Digital Signature Services (DSS) TC,DSS - XSD supporting ITU-T X.509 certificate version 3 rules in the eIDAS trusted list,,,,,,,,,,,
GEANT (GEANT),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Kai Rannenberg,Chair of Mobile Business & Multilateral Security,,Chair / Vice Chair,,,,,,,,,
Kai Rannenberg,ipen Internet Privacy Engineering Network,,Chair / Vice Chair,,,,,,,,,
Global Identity Foundation,Global Identity Foundation - White Paper,,Author,,,,,,,,,
Justin Richer,Health Relationship Trust Profile for OpenID Connect 1.0,,Author,,,,,,,,,
MULTICERT – Serviços de Certificação Electrónica S.A,Future Trust,,General Member,,,,,,,,,
Eve Maler,Forge Rock,,Employee,,,,,,,,,
Trusted Traveler Programs,US Customs and Boarder Protection,,Government Connection,,,,,,,,,
SDNRG Software-Defined Networking Research Group,ITU-T  International Telecommunication Union,,Connection,,,,,,,,,
Asia‑Pacific Network Information Centre (APNIC),Number Resource Organization (NRO),,General Member,,,,,,,,,
Roy T. Fielding,Adobe,,Employee,,,,,,,,,
Innovate UK,UK Government,,Government Connection,,,,,,,,,
Blockchain Working Group,"Multiple Views on Blockchain: Technology, Use Cases, Economics and Policies",,,,,,,,,,,
Department of Justice,US National Information Exchange Model,,Founder,,,,,,,,,
AIDC: Automatic Identification and Data Capture Committee,"ATIS   The Alliance for Telecommunications Industry Solutions, USA",,Organization for Group,,,,,,,,,
EEMA,European Trust Foundation,,Founder,,,,,,,,,
Personal Identity Verification,National Institute of Standards (NIST),,Organization for Group,,,,,,,,,
CryptoExperts SAS,ABC4Trust,,General Member,,,,,,,,,
International Identity Law and Policy Workshop,Report: International Law and Policy,,Author,,,,,,,,,
OpenID Connect Core 1.0,AB/Connect Working Group,,,,,,,,,,,
Blockchain Working Group,Trust in Digital Life,,Organization for Group,,,,,,,,,
Microsoft France,Trust in Digital Life,,General Member,,,,,,,,,
Verizon,Identity Law & Policy Workshop Amsterdam,,Sponsor,,,,,,,,,
Web of Things Interest Group,W3C,,Organization for Group,,,,,,,,,
OpenID Connect Session Management 1.0,AB/Connect Working Group,,Specification of Group,,,,,,,,,
Digidentity,Identity Law & Policy Workshop Amsterdam,,Sponsor,,,,,,,,,
JSON Web Signature,IETF,,Organization for Group,,,,,,,,,
Identity of Things Discussion Group,Kantara,,Organization for Group,,,,,,,,,
Fundamentals of Collective Adaptive Systems FoCAS,FoCAS Manifesto,,,,,,,,,,,
SMTP,Network Working Group,,Organization for Group,,,,,,,,,
ICAO,Machine Readable Travel Documents WG3,,Organization for Group,,,,,,,,,
7th Framework Programme,e-SENS   Electronic Simple European Networked Services,,Funding Flow,,,,,,,,,
Domenico Catalano,Oracle,,Employee,,,,,,,,,
Directorate-General for Informatics (DIGIT),eInvoicing,Technical Management,Government Connection,,,,,,,,,
Kantara,The Internet Technical Advisory Committee,,General Member,,,,,,,,,
The Verifiable Claims Task Force,W3C,,Organization for Group,,,,,,,,,
EEMA,CEN/ETSI (European Committee for Standardization/European Telecommunications Standards Institute),,Collaboration Partner / Affiliate,,,,,,,,,
Web Payments Working Group,Web Payment Activity,,Organization for Group,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Privacy and the legal-social content of identity,,Author,,,,,,,,,
Callcredit Information Group,OIX-UK,,General Member,,,,,,,,,
e-Government Core Vocabularies,Handbook for using the Core Vocabularies,,Author,,,,,,,,,
Trustable Ltd.,Digital Signature Services (DSS) TC,,Founder,,,,,,,,,
CEF Building Blocks / CEF Digital Portal,eDelivery,,Government Connection,,,,,,,,,
Mike Jones,OpenID Connect Discovery 1.0,,Author,,,,,,,,,
John Bradley,MODRNA Discovery,,Author,,,,,,,,,
Miracle A/S,ABC4Trust,,General Member,,,,,,,,,
OAuth 2.0 Form Post Response Mode,AB/Connect Working Group,,Specification of Group,,,,,,,,,
